"Sample","Score_1A"
"P1-noXY",0.547156978802523
"P10-noXY",0.548751148248557
"P11-noXY",0.752199010207551
"P12-noXY",0.521631735994015
"P13-noXY",0.603835105387261
"P14-noXY",0.515573666642886
"P15-noXY",0.523790504134959
"P16-noXY",0.585734781580977
"P17-noXY",0.556069476746488
"P18-noXY",0.674130023854086
"P19-noXY",0.504724107405636
"P2-noXY",0.554254715931602
"P20-noXY",0.524536155463429
"P21-noXY",0.558556444948772
"P23-noXY",0.593212269388605
"P24-noXY",0.678997132000513
"P25-noXY",0.570521506310906
"P3-noXY",0.684207182667451
"P4-noXY",0.517328836380038
"P5-noXY",0.539304466476897
"P8-noXY",0.659822954036063
"P9-noXY",0.537188381528249
"S10-noXY",0.66062229213072
"S2-noXY",0.667574156182818
"S3-noXY",0.672323798023863
"S4-noXY",0.462159543142188
"S5-noXY",0.425097039780812
"S6-noXY",0.654223471529549
"S7-noXY",0.647627279844601
"S8-noXY",0.642250087207649
"S9-noXY",0.453968861413887
"T0-noXY",0.710935843276093
"T10-noXY",0.604414403169649
"T11-noXY",0.513488741317997
"T12-noXY",0.574242666172795
"T13-noXY",0.576424939029384
"T14-noXY",0.608958052706439
"T15-noXY",0.589892784955446
"T16-noXY",0.66830250212457
"T2-noXY",0.719991694523487
"T3-noXY",0.709776047102641
"T4-noXY",0.523006412978284
"T5-noXY",0.657393908665981
"T6-noXY",0.678420513160527
"T7-noXY",0.874117093336536
"T9-noXY",0.555645769839175
